#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
   -3.141592654 -134.593019217  -52.066658764
   -2.967059728 -142.224342252  -35.141081260
   -2.792526803 -146.819895764  -17.877154451
   -2.617993878 -148.605325662   -3.367640067
   -2.443460953 -148.296522580    5.816197280
   -2.268928028 -146.975272613    8.107457282
   -2.094395102 -145.839107230    4.002297310
   -1.919862177 -145.773346315   -3.445844458
   -1.745329252 -146.938980116   -9.231801304
   -1.570796327 -148.608331544   -8.676685528
   -1.396263402 -149.467460659   -0.013140839
   -1.221730476 -148.248438552   14.468800393
   -1.047197551 -144.358202672   29.658988694
   -0.872664626 -138.135933447   40.498198258
   -0.698131701 -130.631769174   44.041982060
   -0.523598776 -123.189413134   39.933641043
   -0.349065850 -117.048078310   29.398597392
   -0.174532925 -113.172475257   14.272052826
    0.000000000 -112.192053348   -3.403196014
    0.174532925 -114.348371560  -21.199771755
    0.349065850 -119.404340616  -36.054847923
    0.523598776 -126.526193992  -44.273132869
    0.698131701 -134.231552745  -42.220030283
    0.872664626 -140.515225644  -27.857110122
    1.047197551 -143.281847353   -2.434109622
    1.221730476 -141.009194611   28.720797289
    1.396263402 -133.393253751   57.268025670
    1.570796327 -121.665085563   74.573943286
    1.745329252 -108.349677886   74.874451309
    1.919862177  -96.560797871   57.443320473
    2.094395102  -89.062194484   26.846415720
    2.268928028  -87.468028663   -8.728583690
    2.443460953  -91.859422071  -40.350955390
    2.617993878 -100.914624185  -61.376222082
    2.792526803 -112.487870486  -69.109617972
    2.967059728 -124.315731003  -64.801016784
