#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
   -3.141592654 -187.181728841  -50.204153051
   -2.967059728 -194.496410135  -33.595028900
   -2.792526803 -198.896244286  -17.253106404
   -2.617993878 -200.657166744   -3.703012927
   -2.443460953 -200.447053757    5.060040137
   -2.268928028 -199.243539275    7.573600111
   -2.094395102 -198.159430625    3.906189116
   -1.919862177 -198.081581206   -3.289580340
   -1.745329252 -199.216310367   -9.135210739
   -1.570796327 -200.882680146   -8.772012546
   -1.396263402 -201.773475922   -0.299557923
   -1.221730476 -200.616556413   14.015153055
   -1.047197551 -196.808915426   29.144273008
   -0.872664626 -190.660065899   40.169488003
   -0.698131701 -183.169945589   44.242225797
   -0.523598776 -175.629677178   40.786922928
   -0.349065850 -169.297626676   30.610541697
   -0.174532925 -165.214096182   15.298832294
    0.000000000 -164.092824994   -2.862962025
    0.174532925 -166.186983330  -20.970785077
    0.349065850 -171.191477529  -35.637800451
    0.523598776 -178.191633304  -43.346266745
    0.698131701 -185.696875483  -41.007150203
    0.872664626 -191.789970100  -27.017337055
    1.047197551 -194.487454531   -2.575455124
    1.221730476 -192.321921709   27.647584539
    1.396263402 -184.924722644   55.908957858
    1.570796327 -173.397537300   73.673049348
    1.745329252 -160.177710060   74.606655007
    1.919862177 -148.410954133   57.299198462
    2.094395102 -140.981764717   26.058653083
    2.268928028 -139.605110544  -10.432686207
    2.443460953 -144.337752832  -42.480303015
    2.617993878 -153.724117343  -62.919308938
    2.792526803 -165.451436836  -69.312706234
    2.967059728 -177.186472057  -63.624610508
