#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
   -3.141592654  -73.609473743  -54.960405972
   -2.967059728  -81.789243517  -38.060889351
   -2.792526803  -86.749464806  -18.866863830
   -2.617993878  -88.523140294   -2.296359806
   -2.443460953  -87.937576229    7.682905907
   -2.268928028  -86.328913279    9.393150384
   -2.094395102  -85.070351431    4.150802765
   -1.919862177  -85.053180329   -4.000996474
   -1.745329252  -86.326154471   -9.776189485
   -1.570796327  -88.066831019   -8.867900490
   -1.396263402  -88.947224483   -0.042385473
   -1.221730476  -87.748828390   14.259277261
   -1.047197551  -83.920356731   29.212324795
   -0.872664626  -77.788110802   39.987013611
   -0.698131701  -70.362105924   43.745378229
   -0.523598776  -62.942607224   40.006152577
   -0.349065850  -56.755105744   29.890483078
   -0.174532925  -52.769597559   15.065014018
    0.000000000  -51.657554343   -2.717337314
    0.174532925  -53.754940513  -21.286187279
    0.349065850  -58.931862838  -37.348551699
    0.523598776  -66.368679982  -46.380568139
    0.698131701  -74.420950169  -43.775369331
    0.872664626  -80.808737500  -27.231493435
    1.047197551  -83.232427852    0.833712650
    1.221730476  -80.260839037   33.070196144
    1.396263402  -72.009767039   59.731249143
    1.570796327  -60.205658755   72.803907341
    1.745329252  -47.582657152   69.065004059
    1.919862177  -36.959463758   50.581165936
    2.094395102  -30.458834829   22.910223527
    2.268928028  -29.114432623   -7.466868755
    2.443460953  -32.882558817  -34.843897508
    2.617993878  -40.847811671  -55.012001787
    2.792526803  -51.503163242  -65.356984840
    2.967059728  -63.026948414  -65.021741394
