#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
   -3.141592654 -186.458602189  -50.469829079
   -2.967059728 -193.866801099  -34.365268993
   -2.792526803 -198.436205585  -18.376115476
   -2.617993878 -200.387521519   -4.684632235
   -2.443460953 -200.304203484    4.643381224
   -2.268928028 -199.114370734    7.810399023
   -2.094395102 -197.955727542    4.459085357
   -1.919862177 -197.792616307   -2.950063170
   -1.745329252 -198.912919858   -9.341383987
   -1.570796327 -200.658062650   -9.408961565
   -1.396263402 -201.667163573   -0.945052366
   -1.221730476 -200.594845698   13.713034648
   -1.047197551 -196.806922983   29.193425306
   -0.872664626 -190.642804676   40.244236858
   -0.698131701 -183.158461801   44.062152022
   -0.523598776 -175.676661882   40.327762022
   -0.349065850 -169.440072371   30.010254852
   -0.174532925 -165.465988207   14.630109244
    0.000000000 -164.468348973   -3.594100138
    0.174532925 -166.692861235  -21.708277332
    0.349065850 -171.806978254  -36.106968146
    0.523598776 -178.842649808  -43.262599728
    0.698131701 -186.285376465  -40.394178716
    0.872664626 -192.254296011  -26.342434403
    1.047197551 -194.866053920   -2.331268272
    1.221730476 -192.712624864   27.289003677
    1.396263402 -185.405070023   55.378303756
    1.570796327 -173.934499262   73.642405949
    1.745329252 -160.636609946   75.556369323
    1.919862177 -148.628638986   59.020535303
    2.094395102 -140.881686267   27.883849279
    2.268928028 -139.225114535   -9.126368136
    2.443460953 -143.785601417  -41.800299278
    2.617993878 -153.087919074  -62.576405280
    2.792526803 -164.765574571  -69.039230309
    2.967059728 -176.459880191  -63.480087603
