#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  36
#! SET periodic_psi true
   -3.141592654   -3.141592654  -89.931234006  -52.205429294   20.131584924
   -2.967059728   -3.141592654  -97.560589964  -34.637115386   20.223974883
   -2.792526803   -3.141592654 -101.926429628  -15.582982199   19.826314246
   -2.617993878   -3.141592654 -103.167918544    0.522407810   19.539283533
   -2.443460953   -3.141592654 -102.098786685   10.542460075   19.710128836
   -2.268928028   -3.141592654  -99.893648069   13.601628862   20.332477670
   -2.094395102   -3.141592654  -97.666265899   11.240762363   21.259196157
   -1.919862177   -3.141592654  -96.087086842    6.844203611   22.534942358
   -1.745329252   -3.141592654  -95.153092087    4.487633065   24.566688349
   -1.570796327   -3.141592654  -94.192867165    7.564038740   27.926298541
   -1.396263402   -3.141592654  -92.101660467   17.437897711   32.862916159
   -1.221730476   -3.141592654  -87.773438246   32.711130770   38.855806343
   -1.047197551   -3.141592654  -80.576309734   49.521600064   44.578616757
   -0.872664626   -3.141592654  -70.679124069   62.813680622   48.291893379
   -0.698131701   -3.141592654  -59.096537179   68.219353074   48.485406135
   -0.523598776   -3.141592654  -47.444506841   63.470834041   44.385628191
   -0.349065850   -3.141592654  -37.511077536   48.729849382   36.144378209
   -0.174532925   -3.141592654  -30.879503800   26.113686793   24.683483961
    0.000000000   -3.141592654  -28.647394817   -1.040722380   11.462782331
    0.174532925   -3.141592654  -31.243528477  -28.397872920   -1.755536977
    0.349065850   -3.141592654  -38.251808782  -50.689132007  -13.104462226
    0.523598776   -3.141592654  -48.298054305  -62.325377870  -20.957949072
    0.698131701   -3.141592654  -59.129728873  -59.268175166  -24.344586342
    0.872664626   -3.141592654  -68.090449733  -41.285490665  -23.368666012
    1.047197551   -3.141592654  -72.919746795  -13.065740363  -19.211821114
    1.221730476   -3.141592654  -72.536942736   16.922817829  -13.697033909
    1.396263402   -3.141592654  -67.429784989   39.779509887   -8.509416974
    1.570796327   -3.141592654  -59.420415663   49.582127504   -4.566221181
    1.745329252   -3.141592654  -50.967512067   45.027109147   -1.837578662
    1.919862177   -3.141592654  -44.390877358   28.754898394    0.331746133
