#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  36
#! SET periodic_phi true
   -3.141592654 -134.828761658  -51.553196575
   -2.967059728 -142.333726143  -34.293617311
   -2.792526803 -146.780463691  -17.076265318
   -2.617993878 -148.467133131   -3.102733691
   -2.443460953 -148.169897147    5.406343639
   -2.268928028 -146.956519141    7.371524010
   -2.094395102 -145.944558458    3.390023335
   -1.919862177 -145.954310472   -3.696688020
   -1.745329252 -147.138000851   -9.238634174
   -1.570796327 -148.810941824   -8.742206323
   -1.396263402 -149.698966805   -0.253929595
   -1.221730476 -148.525624865   14.242963282
   -1.047197551 -144.649372428   29.755222618
   -0.872664626 -138.369294585   41.035443692
   -0.698131701 -130.749931044   44.777887075
   -0.523598776 -123.185763868   40.529870634
   -0.349065850 -116.963069645   29.739407551
   -0.174532925 -113.038931964   14.540869411
    0.000000000 -111.999441659   -2.975298879
    0.174532925 -114.064905844  -20.618311743
    0.349065850 -119.021156827  -35.544521607
    0.523598776 -126.074788222  -44.052589976
    0.698131701 -133.765018558  -42.228480938
    0.872664626 -140.056272989  -27.907775067
    1.047197551 -142.822971904   -2.373335803
    1.221730476 -140.533419021   28.787288628
    1.396263402 -132.923886622   57.111351239
    1.570796327 -121.258319963   73.993461163
    1.745329252 -108.076866933   73.959901502
    1.919862177  -96.456877335   56.478839363
    2.094395102  -89.107898015   26.104345184
    2.268928028  -87.616626900   -9.138458862
    2.443460953  -92.060179908  -40.595479097
    2.617993878 -101.152717561  -61.592232331
    2.792526803 -112.762563650  -69.280335268
    2.967059728 -124.600872005  -64.735837689
